ID,Species,Owner,Country.of.Origin,Company,Region,Producer,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
11,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,oromia,Fahem Coffee Plantation,2014,"March 27th, 2015",Mohammed Lalo,NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,NA,1855,1955,1905
12,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,NA,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0,NA,1872,1872,1872
13,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,Jorge Walter Restrepo,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0,NA,1943,1943,1943
14,Arabica,grounds for health admin,United States,NA,kona,"Robert, Sharon, Arianna Wood",NA,"May 31st, 2010",Grounds for Health Admin,NA,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0,NA,186,186,186
15,Arabica,ethiopia commodity exchange,Ethiopia,NA,oromiya,Bazen Agricultural & Industrial Dev't Plc,NA,"August 31st, 2010",Ethiopia Commodity Exchange,NA,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,NA,1570,1700,1635
16,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,NA,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,8,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0,NA,2080,2080,2080
17,Arabica,grounds for health admin,Indonesia,NA,sulawesi,P.T. Toarco Jaya,NA,"May 31st, 2010",Grounds for Health Admin,NA,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,NA,1200,1800,1500
18,Arabica,ethiopia commodity exchange,Ethiopia,NA,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,2009,"June 16th, 2010",Ethiopia Commodity Exchange,NA,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,NA,-1,-1,-1
19,Arabica,yunnan coffee exchange,China,yunnan coffee exchange,yunnan,Echo Coffee,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,Green,1450,1450,1450
20,Arabica,essencecoffee,Ethiopia,essence coffee,gedio,LevelUp,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0,NA,1700,2000,1850
21,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,NA,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,8,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0,None,2019,2019,2019
22,Arabica,the coffee source inc.,Costa Rica,the coffee source inc.,san ramon,SEVERAL,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,Green,1300,1300,1300
23,Arabica,roberto licona franco,Mexico,NA,xalapa,ROBERTO LICONA FRANCO,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,NA,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,Green,1320,1320,1320
24,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,Silvia Elena Higuita,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0,NA,2112,2112,2112
25,Arabica,ji-ae ahn,Ethiopia,NA,sidamo,NA,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,Bluish-Green,-1,-1,-1
26,Arabica,nucoffee,Brazil,nucoffee,south of minas,Ralph Junqueira,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8,8,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,Green,1250,1250,1250
27,Arabica,ethiopia commodity exchange,Ethiopia,NA,sidamo,Green Gold Ethiopia | Phone: 0114342032,2009,"June 16th, 2010",Ethiopia Commodity Exchange,NA,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,NA,-1,-1,-1
28,Arabica,kabum trading company,Uganda,kabum trading company,kapchorwa eastern,Kabum trading company,2013,"June 26th, 2014",Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,Green,1950,1950,1950
29,Arabica,bismarck castro,Honduras,cigrah s.a de c.v,comayagua,Reinerio Zepeda,2016,"May 18th, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,Green,1400,1400,1400
30,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN",2015,"May 18th, 2016","Lin, Che-Hao Krude",Sumatra,Pulped natural / honey,8,8,8,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0,Green,1200,1200,1200
31,Arabica,nora zeas,Nicaragua,NA,NA,NA,NA,"May 18th, 2010",Nora Zeas,NA,,7.92,8.25,8,8.33,8.0,8.08,10.0,10.0,10.0,8,86.58,0.08,NA,-1,-1,-1
32,Arabica,specialty coffee-korea,Tanzania,NA,NA,NA,2012,"September 3rd, 2013",Specialty Coffee-Korea,NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,Bluish-Green,-1,-1,-1
33,Arabica,nucoffee,Brazil,nucoffee,vale da grama,Homero Texeira de Macedo Junior,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8.0,8.0,10.0,10.0,10.0,8,86.42,0.12,Green,1300,1300,1300
34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,2015,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0,Blue-Green,1300,1300,1300
35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,2014,"March 27th, 2015",Hider Abamecha,NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,Green,1750,1800,1775
36,Arabica,daniel magu,Kenya,c dorman ltd,muranga,Kangunu,2013,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,Blue-Green,1800,1800,1800
37,Arabica,kona pacific farmers cooperative,United States,kona pacific farmers cooperative,kona,NA,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0,NA,-1,-1,-1
38,Arabica,kona pacific farmers cooperative,United States,NA,kona,Kona Pacific Farmers Co-Op,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,NA,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0,NA,-1,-1,-1
39,Arabica,ethiopia commodity exchange,Ethiopia,NA,yirgacheffe,Contact name | ATO Teshome Belamo,2009,"June 17th, 2010",Ethiopia Commodity Exchange,NA,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,NA,-1,-1,-1
40,Arabica,cqi q coffee sample representative,United States,coffee quality institute,antioquia,NA,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,NA,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0,NA,1941,1941,1941
41,Arabica,itdp international,Thailand,lanna cafe,chiang rai,ITDP,2012,"April 12th, 2012",ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,Green,1300,1300,1300
42,Arabica,jacques pereira carneiro,Brazil,NA,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,NA,12,12,12
43,Arabica,jacques pereira carneiro,Brazil,NA,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,NA,12,12,12
44,Arabica,"lin, che-hao krude",Taiwan,taiwan coffee laboratory,natou county,LIN YEN CHIEN,2015,"June 10th, 2015","Lin, Che-Hao Krude",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,Green,1000,1000,1000
45,Arabica,jungle estate,Kenya,keremara limited,nyeri,JUNGLE ESTATE,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10.0,10.0,10.0,8,86.08,0.11,Bluish-Green,1754,1754,1754
46,Arabica,nucoffee,Brazil,nucoffee,south of minas,Ralph Junqueira,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8.0,10.0,10.0,10.0,8,86.08,0.11,Blue-Green,1250,1250,1250
47,Arabica,great lakes coffee uganda,Uganda,ucda,eastern uganda,Kaasay Farmer Group,2014,"October 1st, 2014",Great Lakes Coffee Uganda,NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86,0,NA,-1,-1,-1
48,Arabica,lusso lab,Colombia,lusso coffee lab,tolima,NA,2013,"March 20th, 2014",LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86,0.12,Green,900,1500,1200
49,Arabica,lusso lab,Kenya,lusso coffee lab,kiambu,NA,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86,0.11,Green,1520,2200,1860
50,Arabica,afca,Uganda,kawacom uganda ltd,"sipi, mt elgon",Kawacom,2012,"February 13th, 2012",AFCA,NA,Washed / Wet,8.25,8,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86,0.1,Blue-Green,1400,1900,1650
51,Arabica,ethiopia commodity exchange,Ethiopia,NA,sidamo,Sidama Coffee Farmers Coop. Union,2009,"June 17th, 2010",Ethiopia Commodity Exchange,NA,,7.75,8.08,8,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86,0.01,NA,1500,2000,1750
52,Arabica,grounds for health admin,United States,NA,kona,Hula Daddy Kona Coffee,NA,"May 31st, 2010",Grounds for Health Admin,NA,,8.33,8.17,7.75,8,7.75,7.83,10.0,10.0,10.0,8.17,86,0,NA,130,130,130
53,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8,85.92,0.1,Green,-1,-1,-1
54,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd,eastern,Kawacom (U)Ltd,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8,85.92,0.12,Green,1400,1900,1650
55,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,huila,NA,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8,8,8,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0,Blue-Green,1800,1800,1800
56,Arabica,gonzalo hernandez,Panama,ce specialty s.a.,boquete,Plinio Ruiz,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8,85.83,0.08,Bluish-Green,1600,1600,1600
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,NA,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8,85.83,0.1,Green,1800,2000,1900
58,Arabica,juan luis alvarado romero,Guatemala,sertrasa,acatenango,SERTRASA,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8.0,10.0,10.0,10.0,8,85.83,0.12,Green,465,465,465
59,Arabica,juan luis alvarado romero,Guatemala,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8,85.83,0.1,Bluish-Green,432,432,432
60,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8,85.75,0.09,None,-1,-1,-1
61,Arabica,dane loraas,Peru,sustainable harvest,cajamarca,NA,2013,"January 22nd, 2014",Dane Loraas,NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10.0,10.0,10.0,8,85.75,0.1,Green,-1,-1,-1
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",NA,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,Bluish-Green,1700,1700,1700
63,Arabica,atlantic specialty coffee,El Salvador,atlantic specialty coffee,apaneca,Aida Batlle,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10.0,10.0,10.0,8,85.58,0.1,Blue-Green,1500,1500,1500
64,Arabica,lusso lab,El Salvador,lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,None,1300,1400,1350
65,Arabica,kona pacific farmers cooperative,United States,kona pacific farmers cooperative,kona,NA,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8,85.58,0,NA,-1,-1,-1
66,Arabica,essencecoffee,Panama,essence coffee,boquete,Lamastus,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,NA,1680,1680,1680
67,Arabica,essencecoffee,Kenya,essence coffee,kirinyaga,NA,2014,"May 23rd, 2015",EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8,85.5,0.1,Green,1900,1900,1900
68,Arabica,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,2015,"March 31st, 2015",Assefa Belay Coffee Producer,NA,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8,85.5,0.12,Green,1800,2000,1900
69,Arabica,kyagalanyi ltd,Uganda,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,Green,1600,1600,1600
70,Arabica,juan luis alvarado romero,Guatemala,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,Green,520,535,528
71,Arabica,assefa belay coffee producer,Ethiopia,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,2015,"March 31st, 2015",Assefa Belay Coffee Producer,NA,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,Green,1800,2000,1900
72,Arabica,great lakes coffee uganda,Uganda,great lakes coffee,kapchorwa,Chesiyo Farmer group,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Washed / Wet,8.08,8,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8,85.42,0.12,Green,1950,1950,1950
73,Arabica,kona pacific farmers cooperative,United States,kona pacific farmers cooperative,kona,NA,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0,NA,-1,-1,-1
74,Arabica,nucoffee,Brazil,nucoffee,south of minas,NA,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8.0,10.0,10.0,10.0,8,85.42,0.11,Blue-Green,1250,1250,1250
75,Arabica,grounds for health admin,El Salvador,NA,apaneca,J. Hill y Cia SA de CV,2009,"May 31st, 2010",Grounds for Health Admin,NA,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,NA,1400,1400,1400
76,Arabica,yunnan coffee exchange,China,yunnan coffee exchange,yunnan,Pu'er City Longke Coffee Co.Ltd,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,Green,1700,1700,1700
77,Arabica,essencecoffee,Guatemala,essence coffee,huehuetenango,Arturo Aguirre,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,Green,1770,1770,1770
78,Arabica,the coffee source inc.,Costa Rica,the coffee source inc.,west valley,Cafe Altura de San Ramon,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.92,8.08,8,7.92,8.0,8.08,10.0,10.0,9.33,8,85.33,0,Bluish-Green,1300,1300,1300
79,Arabica,the coffee source inc.,Costa Rica,the coffee source inc.,san ramon,SEVERAL,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,Bluish-Green,1300,1300,1300
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0,Green,1600,1600,1600
81,Arabica,ibero kenya limited,Kenya,ibero kenya limited,central kenya,Blend from various Producers,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0,Green,1200,1200,1200
82,Arabica,ethiopia commodity exchange,Ethiopia,NA,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",2009,"June 17th, 2010",Ethiopia Commodity Exchange,NA,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,NA,-1,-1,-1
83,Arabica,ethiopia commodity exchange,Ethiopia,NA,yirgacheffe,Contact name | Hailu Gebre Hiwot,2009,"June 17th, 2010",Ethiopia Commodity Exchange,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8,85.33,0.1,NA,-1,-1,-1
84,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,,8,7.92,7.75,8,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,Green,-1,-1,-1
85,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,santander,varios,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,Green,1550,1550,1550
86,Arabica,NA,Colombia,ecom cca sa,santander,NA,2014,"January 17th, 2014",NA,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,Green,1550,1550,1550
87,Arabica,"nomura trading co., ltd.",Indonesia,"nomura trading co., ltd.",lintong,NA,2012,"November 26th, 2012","Nomura Trading Co., Ltd.",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10.0,10.0,10.0,8,85.17,0.11,Green,1250,1400,1325
88,Arabica,the coffee source inc.,Guatemala,the coffee source inc.,huehuetenango,Coop. Hoja Blanca - Fedecocagua,2012,"January 18th, 2012",The Coffee Source Inc.,Caturra,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0,NA,1400,1400,1400
89,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,2016,"August 9th, 2016",SEID DAMTEW COFFEE PLANATAION,NA,Natural / Dry,7.75,8,7.58,8,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,Green,-1,-1,-1
90,Arabica,carcafe ltda ci,Colombia,carcafe ltda,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,2015,"August 18th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0,NA,2560,2560,2560
91,Arabica,steven kil,Ethiopia,the specialty coffee appraisers institute of asia,aricha,BNT,2014,"October 7th, 2014",Steven Kil,NA,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,Green,1700,1700,1700
92,Arabica,eileen koyanagi,United States,kona pacific farmers cooperative,kona,NA,2014,"March 10th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,Bluish-Green,-1,-1,-1
93,Arabica,carcafe ltda ci,Colombia,carcafe ltda,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,2012,"March 16th, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,Green,2136,2136,2136
94,Arabica,kona pacific farmers cooperative,United States,NA,kona,Kona Pacific Farmers Cooperative,NA,"December 27th, 2010",Kona Pacific Farmers Cooperative,NA,,8.08,8.17,7.92,8,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,NA,-1,-1,-1
